Date,평화산업,평화홀딩스,대영포장,한솔홈데코
2025-04-21,,,,
2025-04-22,-3.8000000000000034,-9.970384995064164,-5.706051873198847,-2.7906976744186074
2025-04-23,-9.333333333333337,-17.07798617966436,-7.146974063400579,-5.116279069767449
2025-04-24,-12.333333333333329,-19.84205330700888,-12.219020172910666,-6.279069767441858
2025-04-25,-19.000000000000007,-31.19447186574531,-16.772334293948134,-9.651162790697676
2025-04-26,-19.000000000000007,-31.19447186574531,-16.772334293948134,-9.651162790697676
2025-04-27,-19.000000000000007,-31.19447186574531,-16.772334293948134,-9.651162790697676
2025-04-28,-21.333333333333336,-34.94570582428431,-20.115273775216135,-12.09302325581394
2025-04-29,-18.666666666666675,-43.336623889437305,-19.827089337175796,-12.209302325581383
2025-04-30,-21.933333333333337,-45.70582428430404,-21.556195965417867,-14.41860465116277
2025-05-01,-21.933333333333337,-45.70582428430404,-21.556195965417867,-14.41860465116277
2025-05-02,-29.266666666666662,-55.47877591312932,-31.757925072046113,-16.1627906976744
2025-05-03,-29.266666666666662,-55.47877591312932,-31.757925072046113,-16.1627906976744
2025-05-04,-29.266666666666662,-55.47877591312932,-31.757925072046113,-16.1627906976744
2025-05-05,-29.266666666666662,-55.47877591312932,-31.757925072046113,-16.1627906976744
2025-05-06,-29.266666666666662,-55.47877591312932,-31.757925072046113,-16.1627906976744
2025-05-07,-17.133333333333333,-42.15202369200396,-23.054755043227658,-14.883720930232535
2025-05-08,-1.6000000000000014,-24.87660414610071,-18.386167146974053,-14.069767441860447
2025-05-09,6.933333333333325,-12.14215202369202,-16.311239193083573,-15.813953488372078
2025-05-10,6.933333333333325,-12.14215202369202,-16.311239193083573,-15.813953488372078
2025-05-11,6.933333333333325,-12.14215202369202,-16.311239193083573,-15.813953488372078
2025-05-12,39.000000000000014,14.215202369200375,8.760806916426533,9.418604651162799
2025-05-13,31.533333333333346,29.02270483711744,-3.227665706051863,-2.4418604651162634
2025-05-14,19.999999999999996,11.056268509378064,-4.726224783861655,-5.116279069767426
2025-05-15,5.800000000000005,-16.18953603158936,-12.507204610950994,-9.883720930232542
2025-05-16,-2.599999999999991,-18.065153010858857,-19.884726224783854,-13.488372093023248
2025-05-17,-2.599999999999991,-18.065153010858857,-19.884726224783854,-13.488372093023248
2025-05-18,-2.599999999999991,-18.065153010858857,-19.884726224783854,-13.488372093023248
2025-05-19,-12.666666666666659,-30.898321816386986,-26.109510086455323,-15.697674418604645
2025-05-20,12.399999999999988,-10.167818361303071,-12.219020172910655,-9.651162790697665
2025-05-21,10.133333333333328,-3.1589338598223327,-16.2536023054755,-12.09302325581394
2025-05-22,3.733333333333322,-9.180651530108609,-20.922190201729094,-13.83720930232557
2025-05-23,11.99999999999999,2.1717670286278246,-18.386167146974053,-14.651162790697658
2025-05-24,11.99999999999999,2.1717670286278246,-18.386167146974053,-14.651162790697658
2025-05-25,11.99999999999999,2.1717670286278246,-18.386167146974053,-14.651162790697658
2025-05-26,5.199999999999982,-1.5794669299111774,-21.268011527377507,-16.046511627906966
2025-05-27,-2.8000000000000136,-11.747285291214238,-25.533141210374634,-15.697674418604635
2025-05-28,-10.66666666666668,-24.086870681145133,-27.838616714697395,-16.279069767441847
2025-05-29,-13.200000000000012,-35.14313919052321,-30.086455331412097,-16.046511627906966
