Date,NE능률,덕성,삼부토건,신원종합개발,안랩
2022-01-28,,,,,
2022-01-29,0.0,0.0,0.0,0.0,0.0
2022-01-30,0.0,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0
2022-02-02,0.0,0.0,0.0,0.0,0.0
2022-02-03,2.777777777777768,1.6666666666666607,4.870129870129869,-1.4023732470334394,-0.13071895424836555
2022-02-04,5.15873015873014,5.000000000000004,5.844155844155852,-0.7551240560949357,-7.058823529411762
2022-02-05,5.15873015873014,5.000000000000004,5.844155844155852,-0.7551240560949357,-7.058823529411762
2022-02-06,5.15873015873014,5.000000000000004,5.844155844155852,-0.7551240560949357,-7.058823529411762
2022-02-07,7.539682539682513,5.000000000000004,12.01298701298703,-2.912621359223311,3.3986928104575265
2022-02-08,9.523809523809511,5.333333333333323,45.45454545454548,5.717367853290178,-4.444444444444429
2022-02-09,11.111111111111093,5.666666666666664,60.064935064935085,5.501618122977336,-1.699346405228741
2022-02-10,4.761904761904745,1.0000000000000009,49.02597402597404,1.1866235167205863,-3.0065359477124076
2022-02-11,7.9365079365079305,2.0000000000000018,39.61038961038963,0.21574973031281974,-4.836601307189525
2022-02-12,7.9365079365079305,2.0000000000000018,39.61038961038963,0.21574973031281974,-4.836601307189525
2022-02-13,7.9365079365079305,2.0000000000000018,39.61038961038963,0.21574973031281974,-4.836601307189525
2022-02-14,9.920634920634885,1.0000000000000009,35.38961038961042,-7.0118662351672185,-8.496732026143771
2022-02-15,-2.220446049250313e-14,-8.999999999999986,29.220779220779235,-12.081984897518893,-11.895424836601299
2022-02-16,6.746031746031722,-4.666666666666652,35.06493506493511,-5.82524271844661,-10.196078431372534
2022-02-17,14.285714285714256,-0.6666666666666599,34.09090909090913,-5.070118662351685,-11.111111111111082
2022-02-18,22.619047619047585,14.000000000000012,38.311688311688364,3.4519956850053823,-8.366013071895406
2022-02-19,22.619047619047585,14.000000000000012,38.311688311688364,3.4519956850053823,-8.366013071895406
2022-02-20,22.619047619047585,14.000000000000012,38.311688311688364,3.4519956850053823,-8.366013071895406
2022-02-21,16.66666666666665,12.333333333333352,36.68831168831175,0.0,-10.457516339869265
2022-02-22,5.952380952380931,1.0000000000000009,33.766233766233825,-8.198489751887806,-12.026143790849652
2022-02-23,8.73015873015872,1.666666666666683,34.74025974025983,-9.06148867313915,-11.50326797385619
2022-02-24,-2.3809523809523947,-5.999999999999983,28.24675324675332,-15.641855447680687,-15.032679738562083
2022-02-25,6.349206349206327,1.000000000000023,36.03896103896111,-13.3764832793959,-10.065359477124158
2022-02-26,6.349206349206327,1.000000000000023,36.03896103896111,-13.3764832793959,-10.065359477124158
2022-02-27,6.349206349206327,1.000000000000023,36.03896103896111,-13.3764832793959,-10.065359477124158
2022-02-28,0.7936507936507686,-3.3333333333332993,40.259740259740354,-19.41747572815533,-15.032679738562072
2022-03-01,0.7936507936507686,-3.3333333333332993,40.259740259740354,-19.41747572815533,-15.032679738562072
2022-03-02,-1.5873015873016039,-3.9999999999999702,41.88311688311701,-19.633225458468175,-13.725490196078416
2022-03-03,2.3809523809523503,4.440892098500626e-14,57.4675324675326,-15.426105717367856,-7.450980392156836
2022-03-04,-4.365079365079383,-3.666666666666629,57.142857142857295,-13.16073354908307,-9.41176470588234
2022-03-05,-4.365079365079383,-3.666666666666629,57.142857142857295,-13.16073354908307,-9.41176470588234
2022-03-06,-4.365079365079383,-3.666666666666629,57.142857142857295,-13.16073354908307,-9.41176470588234
2022-03-07,-13.888888888888907,-13.999999999999968,62.01298701298717,-19.09385113268609,-12.41830065359476
2022-03-08,-28.253968253968264,-27.999999999999968,41.23376623376635,-23.40884573894284,-7.450980392156847
2022-03-09,-28.253968253968264,-27.999999999999968,41.23376623376635,-23.40884573894284,-7.450980392156847
2022-03-10,-28.015873015873016,-33.3333333333333,83.44155844155861,-0.4314994606256839,-3.5294117647058587
2022-03-11,-33.88888888888889,-37.39999999999998,93.83116883116902,15.426105717367843,13.071895424836644
2022-03-12,-33.88888888888889,-37.39999999999998,93.83116883116902,15.426105717367843,13.071895424836644
2022-03-13,-33.88888888888889,-37.39999999999998,93.83116883116902,15.426105717367843,13.071895424836644
2022-03-14,-37.61904761904762,-38.19999999999998,94.80519480519496,27.29234088457386,19.477124183006577
2022-03-15,-38.0952380952381,-38.53333333333331,84.41558441558456,27.29234088457386,17.64705882352946
2022-03-16,-35.55555555555555,-37.33333333333331,102.5974025974028,44.55231930960084,14.3790849673203
2022-03-17,-35.39682539682539,-36.5333333333333,100.00000000000017,42.93419633225457,19.215686274509846
2022-03-18,-36.031746031746025,-37.199999999999974,100.64935064935088,38.079827400215734,32.941176470588275
2022-03-19,-36.031746031746025,-37.199999999999974,100.64935064935088,38.079827400215734,32.941176470588275
2022-03-20,-36.031746031746025,-37.199999999999974,100.64935064935088,38.079827400215734,32.941176470588275
2022-03-21,-36.031746031746025,-37.666666666666636,99.02597402597424,41.3160733549083,49.93464052287588
2022-03-22,-36.66666666666666,-38.26666666666664,101.29870129870153,45.63106796116505,76.8627450980393
2022-03-23,-27.777777777777768,-33.9333333333333,107.14285714285738,54.26105717367855,129.80392156862752
2022-03-24,-29.206349206349202,-32.99999999999997,103.57142857142878,55.8791801510248,89.5424836601308
2022-03-25,-31.1111111111111,-34.53333333333332,109.74025974025996,52.10355987055016,77.38562091503276
2022-03-26,-31.1111111111111,-34.53333333333332,109.74025974025996,52.10355987055016,77.38562091503276
