Date,형지I&C,코나아이,상지건설,오리엔트바이오,thema5
2022-01-28,,,,,
2022-01-29,0.0,0.0,0.0,0.0,
2022-01-30,0.0,0.0,0.0,0.0,
2022-01-31,0.0,0.0,0.0,0.0,
2022-02-01,0.0,0.0,0.0,0.0,
2022-02-02,0.0,0.0,0.0,0.0,
2022-02-03,2.3790642347343294,2.321428571428563,-1.930645281057397,3.3898305084745672,
2022-02-04,0.3568596352101494,3.035714285714275,1.1583871686344338,-1.2711864406779738,
2022-02-05,0.3568596352101494,3.035714285714275,1.1583871686344338,-1.2711864406779738,
2022-02-06,0.3568596352101494,3.035714285714275,1.1583871686344338,-1.2711864406779738,
2022-02-07,-1.2688342585249868,-1.1102230246251565e-14,0.38612905621147053,-3.3898305084745783,
2022-02-08,-3.647898493259316,-3.392857142857153,0.7722581124229633,-4.661016949152552,
2022-02-09,-2.022204599524191,0.8928571428571175,-0.38612905621149274,-4.661016949152552,
2022-02-10,-2.8548770816812175,-1.0714285714285898,1.9306452810573749,-5.508474576271194,
2022-02-11,-4.084060269627288,-3.214285714285736,0.38612905621147053,-6.779661016949157,
2022-02-12,-4.084060269627288,-3.214285714285736,0.38612905621147053,-6.779661016949157,
2022-02-13,-4.084060269627288,-3.214285714285736,0.38612905621147053,-6.779661016949157,
2022-02-14,-9.754163362410806,-1.7857142857143016,-5.405806786960731,-10.593220338983055,
2022-02-15,-10.94369547977797,-3.035714285714297,-10.811613573921452,-11.440677966101697,
2022-02-16,-6.899286280729589,-9.107142857142868,-5.791935843172203,-8.05084745762713,
2022-02-17,-7.692307692307699,-10.357142857142865,-8.880968292864043,-10.169491525423735,
2022-02-18,-3.6478984932593272,-10.178571428571438,-7.7225811242296105,-9.745762711864414,
2022-02-19,-3.6478984932593272,-10.178571428571438,-7.7225811242296105,-9.745762711864414,
2022-02-20,-3.6478984932593272,-10.178571428571438,-7.7225811242296105,-9.745762711864414,
2022-02-21,0.0,-11.250000000000016,-10.03935546149849,-8.898305084745772,
2022-02-22,-4.877081681205397,-13.571428571428578,-20.0762357367392,-11.016949152542388,
2022-02-23,-4.877081681205397,-8.750000000000002,-28.34088265141952,-11.016949152542388,
2022-02-24,-10.190325138778755,-11.785714285714299,-19.69010668052772,-13.983050847457646,
2022-02-25,-6.899286280729589,-8.92857142857143,-19.69010668052772,-12.28813559322035,
2022-02-26,-6.899286280729589,-8.92857142857143,-19.69010668052772,-12.28813559322035,
2022-02-27,-6.899286280729589,-8.92857142857143,-19.69010668052772,-12.28813559322035,
2022-02-28,-3.6478984932593272,-4.46428571428571,-18.145590455681806,-11.016949152542388,
2022-03-01,-3.6478984932593272,-4.46428571428571,-18.145590455681806,-11.016949152542388,
2022-03-02,-3.6478984932593272,-1.7857142857142905,-20.848493849162164,-10.169491525423746,
2022-03-03,-2.4583663758921626,-7.857142857142863,-18.531719511893286,-14.406779661016966,
2022-03-04,0.3568596352101272,-10.000000000000009,-14.286775079824764,-15.423728813559334,
2022-03-05,0.3568596352101272,-10.000000000000009,-14.286775079824764,-15.423728813559334,
2022-03-06,0.3568596352101272,-10.000000000000009,-14.286775079824764,-15.423728813559334,
2022-03-07,8.485329103885796,-4.642857142857149,-19.69010668052772,-13.983050847457633,
2022-03-08,13.719270420301344,-9.285714285714286,-14.286775079824777,-17.796610169491522,
2022-03-09,13.719270420301344,-9.285714285714286,-14.286775079824777,-17.796610169491522,
2022-03-10,-1.6256938937351362,-22.857142857142854,-18.531719511893286,-25.50847457627119,
2022-03-11,-6.106264869151468,-25.178571428571427,-16.98720328704737,-25.423728813559332,
2022-03-12,-6.106264869151468,-25.178571428571427,-16.98720328704737,-25.423728813559332,
2022-03-13,-6.106264869151468,-25.178571428571427,-16.98720328704737,-25.423728813559332,
2022-03-14,-10.547184773988894,-27.499999999999993,-17.373332343258852,-23.728813559322038,
2022-03-15,-15.42426645519429,-28.214285714285715,-19.30397762431625,-25.932203389830512,
2022-03-16,-17.842981760507538,-25.71428571428571,-13.900646023613284,-21.949152542372886,
2022-03-17,-19.072164948453608,-23.750000000000004,-16.601074230835877,-21.864406779661017,
2022-03-18,-17.049960348929428,-23.750000000000004,-18.145590455681806,-21.949152542372886,
2022-03-19,-17.049960348929428,-23.750000000000004,-18.145590455681806,-21.949152542372886,
2022-03-20,-17.049960348929428,-23.750000000000004,-18.145590455681806,-21.949152542372886,
2022-03-21,-18.239492466296593,-23.03571428571428,-20.0762357367392,-21.949152542372886,
2022-03-22,-16.613798572561468,-23.214285714285708,-22.006881017796598,-21.610169491525422,
2022-03-23,-9.35765265662173,-20.714285714285708,-25.40531174970918,-20.423728813559315,
2022-03-24,-10.190325138778745,-22.32142857142856,-21.234622905373634,-20.67796610169491,
2022-03-25,-2.8548770816812064,-20.892857142857125,-22.393010074008078,-21.61016949152541,
2022-03-26,-2.8548770816812064,-20.892857142857125,-22.393010074008078,-21.61016949152541,
2022-03-27,-2.8548770816812064,-20.892857142857125,-22.393010074008078,-21.61016949152541,
2022-03-28,-6.106264869151468,-22.678571428571416,-24.093463033093254,-23.305084745762706,
2022-03-29,-9.35765265662173,-21.249999999999993,-27.568624538996577,-22.372881355932194,
2022-03-30,-8.921490880253756,-19.4642857142857,-28.571074973391763,-22.20338983050847,
2022-03-31,-9.357652656621717,-9.64285714285712,-27.875547634959542,-21.61016949152541,
2022-04-01,-11.776367961934964,-8.571428571428562,-26.331031410113614,-21.355932203389827,
2022-04-02,-11.776367961934964,-8.571428571428562,-26.331031410113614,-21.355932203389827,
