Date,형지I&C,코나아이,상지건설,오리엔트바이오,thema5
2022-04-03,-11.776367961934964,-8.571428571428562,-26.331031410113614,-21.355932203389827,
2022-04-04,-6.899286280729577,-7.142857142857128,-20.07623573673919,-20.423728813559315,
2022-04-05,-7.692307692307699,-6.249999999999989,-15.059033192247707,-20.67796610169491,
2022-04-06,-8.921490880253769,-8.749999999999991,-15.83129130467067,-20.932203389830494,
2022-04-07,-9.357652656621717,-8.571428571428562,-12.356129798767345,-21.779661016949138,
2022-04-08,-11.340206185567004,-6.607142857142845,-14.286775079824743,-22.54237288135592,
2022-04-09,-11.340206185567004,-6.607142857142845,-14.286775079824743,-22.54237288135592,
2022-04-10,-11.340206185567004,-6.607142857142845,-14.286775079824743,-22.54237288135592,
2022-04-11,-11.776367961934964,-7.321428571428568,-18.917848568104745,-22.881355932203373,
2022-04-12,-12.212529738302925,-6.964285714285712,-15.059033192247707,-22.966101694915242,
2022-04-13,-12.569389373513074,-5.714285714285716,-16.987203287047336,-22.372881355932183,
2022-04-14,-13.798572561459144,-8.392857142857146,-21.620751961585093,-23.644067796610145,
2022-04-15,-12.212529738302925,-14.464285714285719,-13.900646023613273,-22.881355932203373,
2022-04-16,-12.212529738302925,-14.464285714285719,-13.900646023613273,-22.881355932203373,
2022-04-17,-12.212529738302925,-14.464285714285719,-13.900646023613273,-22.881355932203373,
2022-04-18,-11.776367961934975,-16.964285714285708,-10.425484517709949,-23.55932203389829,
