Date,현대엘리베이터,한창,현대상선,에머슨퍼시픽,신원
2007-11-09,44583.50390625,3062.771484375,211010.890625,2430.0,1835.8175048828125
2007-11-12,42158.46484375,2974.251953125,203590.734375,2440.0,1795.2672119140625
2007-11-13,41039.19921875,3062.771484375,202199.453125,2350.0,1769.4625244140625
2007-11-14,43277.7109375,3098.179443359375,206605.1875,2290.0,1798.9534912109375
2007-11-15,43650.796875,3168.99462890625,206141.40625,2360.0,1765.7762451171875
2007-11-16,42531.54296875,3115.883056640625,206141.40625,2320.0,1758.4033203125
2007-11-19,41412.2890625,3098.179443359375,194779.296875,2270.0,1644.125732421875
2007-11-20,41039.19921875,3098.179443359375,198489.375,2310.0,1636.7528076171875
2007-11-21,39173.78515625,3045.0673828125,186431.609375,2290.0,1754.717041015625
2007-11-22,41412.2890625,2991.955810546875,185040.28125,2280.0,1622.0072021484375
2007-11-23,39919.953125,2938.843994140625,175069.484375,2280.0,1577.7708740234375
2007-11-26,40666.125,3009.65966796875,179938.96875,2370.0,1548.27978515625
2007-11-27,43277.7109375,2991.955810546875,182953.390625,2240.0,1577.7708740234375
2007-11-28,43837.3359375,2903.436279296875,183417.15625,2240.0,1540.9068603515625
2007-11-29,47381.6328125,3009.65966796875,186663.484375,2280.0,1511.4158935546875
2007-11-30,48687.41796875,3098.179443359375,192692.375,2300.0,1511.4158935546875
2007-12-03,46822.00390625,3133.5869140625,191069.203125,2340.0,1511.4158935546875
2007-12-04,47195.09375,3062.771484375,191996.734375,2250.0,1566.7115478515625
2007-12-05,44770.04296875,3133.5869140625,196170.5625,2300.0,1607.2618408203125
2007-12-06,48500.88671875,3151.290771484375,204054.484375,2330.0,1622.0072021484375
2007-12-07,48500.88671875,3168.99462890625,204054.484375,2280.0,1622.0072021484375
2007-12-10,47568.171875,3257.513916015625,195706.796875,2240.0,1669.93017578125
2007-12-11,47195.09375,3239.810302734375,196170.5625,2310.0,1655.184814453125
2007-12-12,46448.921875,3204.40234375,201271.921875,2320.0,1736.2852783203125
2007-12-13,43277.7109375,3222.106201171875,192460.5,2340.0,1736.2852783203125
2007-12-14,44770.04296875,3186.6982421875,197098.078125,2240.0,1824.7584228515625
2007-12-17,43650.796875,3257.513916015625,189214.15625,2250.0,1695.7347412109375
2007-12-18,45516.21875,3292.921875,192460.5,2210.0,1732.598876953125
2007-12-20,44583.50390625,3310.625732421875,184112.8125,2170.0,1677.302978515625
2007-12-21,46262.38671875,3257.513916015625,184576.578125,2180.0,1607.2618408203125
2007-12-24,47754.70703125,3239.810302734375,199185.0,2120.0,1684.676025390625
2007-12-26,48500.88671875,3204.40234375,203590.734375,2200.0,1802.639892578125
2007-12-27,48613.4921875,3346.033447265625,202183.40625,2160.0,1885.7808837890625
2007-12-28,50678.16015625,3310.625732421875,201714.3125,2140.0,1923.57177734375
2008-01-02,49551.984375,3381.44140625,192332.25,2120.0,1813.977294921875
2008-01-03,46736.52734375,3292.921875,190690.390625,2160.0,1829.093994140625
2008-01-04,48801.203125,3222.106201171875,188344.890625,2140.0,1806.4189453125
2008-01-07,48425.80078125,3186.6982421875,188110.328125,2070.0,1791.302490234375
2008-01-08,47111.91796875,3186.6982421875,187875.78125,2170.0,1798.86083984375
2008-01-09,46548.8359375,3045.0673828125,190924.953125,2090.0,1795.0816650390625
2008-01-10,44859.5625,3027.36376953125,181777.4375,2080.0,1768.6278076171875
2008-01-11,42419.5,3098.179443359375,173802.65625,2060.0,1757.290283203125
2008-01-14,41668.703125,3098.179443359375,172395.390625,2060.0,1757.290283203125
2008-01-15,41481.015625,3292.921875,168407.984375,2110.0,1715.72021484375
2008-01-16,37914.77734375,3310.625732421875,170284.421875,2120.0,1685.4873046875
2008-01-17,37727.078125,3399.14501953125,168407.984375,2080.0,1677.928955078125
2008-01-18,38665.56640625,3434.552978515625,169111.671875,2100.0,1738.3948974609375
2008-01-21,36037.8046875,3222.106201171875,164420.625,2100.0,1662.8125
2008-01-22,34160.8359375,3045.0673828125,148940.21875,2100.0,1776.18603515625
2008-01-23,35287.015625,3080.47509765625,153865.796875,2060.0,1734.615966796875
2008-01-24,38665.56640625,3239.810302734375,156914.96875,2060.0,1715.72021484375
2008-01-25,41293.3203125,3239.810302734375,167235.21875,2020.0,1711.941162109375
