Date,평화산업,평화홀딩스,대영포장,한솔홈데코
2025-04-23,,,,
2025-04-24,-3.308823529411764,-3.3333333333333326,-5.462445685909378,-1.225490196078427
2025-04-25,-10.661764705882348,-17.02380952380953,-10.366232153941656,-4.779411764705877
2025-04-26,-10.661764705882348,-17.02380952380953,-10.366232153941656,-4.779411764705877
2025-04-27,-10.661764705882348,-17.02380952380953,-10.366232153941656,-4.779411764705877
2025-04-28,-13.235294117647056,-21.547619047619047,-13.966480446927376,-7.352941176470573
2025-04-29,-10.294117647058831,-31.666666666666664,-13.65611421477343,-7.475490196078416
2025-04-30,-13.897058823529406,-34.523809523809526,-15.518311607697077,-9.803921568627427
2025-05-01,-13.897058823529406,-34.523809523809526,-15.518311607697077,-9.803921568627427
2025-05-02,-21.985294117647058,-46.30952380952381,-26.505276225946616,-11.642156862745079
2025-05-03,-21.985294117647058,-46.30952380952381,-26.505276225946616,-11.642156862745079
2025-05-04,-21.985294117647058,-46.30952380952381,-26.505276225946616,-11.642156862745079
2025-05-05,-21.985294117647058,-46.30952380952381,-26.505276225946616,-11.642156862745079
2025-05-06,-21.985294117647058,-46.30952380952381,-26.505276225946616,-11.642156862745079
2025-05-07,-8.60294117647059,-30.23809523809524,-17.132216014897583,-10.294117647058798
2025-05-08,8.529411764705873,-9.404761904761916,-12.104283054003718,-9.4362745098039
2025-05-09,17.94117647058824,5.952380952380931,-9.86964618249534,-11.27450980392155
2025-05-10,17.94117647058824,5.952380952380931,-9.86964618249534,-11.27450980392155
2025-05-11,17.94117647058824,5.952380952380931,-9.86964618249534,-11.27450980392155
2025-05-12,53.308823529411775,37.73809523809521,17.132216014897583,15.318627450980426
2025-05-13,45.073529411764724,55.595238095238074,4.220980757293624,2.8186274509804043
