Date,안랩,케이씨피드,솔고바이오,써니전자,월비스
2012-10-11,,,,,
2012-10-12,-2.250332881700945,-1.8726506684476951,0.7092198581560183,-3.4438722556005996,2.9703034850649956
2012-10-13,-2.250332881700945,-1.8726506684476951,0.7092198581560183,-3.4438722556005996,2.9703034850649956
2012-10-14,-2.250332881700945,-1.8726506684476951,0.7092198581560183,-3.4438722556005996,2.9703034850649956
2012-10-15,-12.376921734125556,-6.9912581708504895,-9.57446808510639,-17.72958654131489,-11.17397317706702
2012-10-16,-11.673681347997722,-4.619203998827071,-6.028368794326244,-13.520400250569043,-10.466760761333394
2012-10-17,-14.627274091134446,-8.114844146871459,-7.801418439716312,-18.367339147813034,-13.719936456335136
2012-10-18,-16.736975774210038,-15.48063835147504,-7.801418439716312,-24.74489929825535,-17.963225124466607
2012-10-19,-19.97185038990541,-15.355785631811248,-10.63829787234043,-29.591838195499342,-16.97311923820172
2012-10-20,-19.97185038990541,-15.355785631811248,-10.63829787234043,-29.591838195499342,-16.97311923820172
2012-10-21,-19.97185038990541,-15.355785631811248,-10.63829787234043,-29.591838195499342,-16.97311923820172
2012-10-22,-15.752453515523534,-9.363275467476772,-6.028368794326234,-19.132646365866123,-13.154170775867124
2012-10-23,-4.922624276971077,-3.6204707424698834,4.255319148936176,-7.015305939848315,-14.5685956073344
2012-10-24,-12.095633369797598,-12.858922990600586,-7.4468085106382915,6.887758145385514,-18.246104421268193
2012-10-25,-12.236277551961583,-15.730329040643742,-8.15602836879432,22.83163466166871,-16.83168667666577
2012-10-26,-12.095633369797598,-9.113592153387462,-1.4184397163120477,25.127563132920105,-14.427155958933625
2012-10-27,-12.095633369797598,-9.113592153387462,-1.4184397163120477,25.127563132920105,-14.427155958933625
2012-10-28,-12.095633369797598,-9.113592153387462,-1.4184397163120477,25.127563132920105,-14.427155958933625
2012-10-29,-15.611796349820928,-7.6154775186928365,-4.255319148936165,18.23980498753459,-13.295617511132773
2012-10-30,-16.736975774210027,-7.6154775186928365,-3.546099290780147,35.9693847117573,-21.216407906333213
