Date,EG,동양물산,대유에이텍,대유신소재,아가방컴퍼니,보령메디앙스,세운메디칼
2012-11-09,,,,,,,
2012-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-12,0.0,-1.2903269054288957,-0.5882296094499861,0.2982721221453266,-0.7000013736368271,-1.666656132758193,0.40159725711701455
2012-11-13,-2.2500069116280774,-6.12903939395768,-3.235289997859825,0.5965442442906532,-4.099999575061986,-4.999996698327203,0.40159725711701455
2012-11-14,-2.0000005988414227,-6.451627823729689,-3.8235304656637714,1.0439620361718083,0.0,-0.833323349703663,3.6144519240485673
2012-11-15,-2.2500069116280774,-10.000020110244368,-4.117661557919716,-0.7457667833318471,-1.4999916494739751,-3.3333311322181314,-0.5354808851549264
2012-11-16,-4.750000174662084,-16.774202846672125,-5.8823503862696525,-2.535466776845996,-3.0000030635065844,-6.666662264436263,-6.6934382849412
2012-11-17,-4.750000174662084,-16.774202846672125,-5.8823503862696525,-2.535466776845996,-3.0000030635065844,-6.666662264436263,-6.6934382849412
2012-11-18,-4.750000174662084,-16.774202846672125,-5.8823503862696525,-2.535466776845996,-3.0000030635065844,-6.666662264436263,-6.6934382849412
2012-11-19,-6.625002607455366,-15.48387594124323,-2.9411697639578516,-0.6711843398007566,-3.2000006324658714,-6.666662264436263,-3.8822038581253215
2012-11-20,-4.750000174662084,-11.93549035814334,-1.1764700772539438,1.715136767309411,1.0000076093550803,-3.7499928070699573,-4.953150306436138
2012-11-21,-8.00000239536569,-14.193569146058692,-5.588241010721662,3.206516595362374,-3.3999982014251695,-7.9166661556934965,-9.772432306833434
2012-11-22,-4.6249920279235806,-10.322581726357228,-2.0588090622519317,5.667362494024619,1.0000076093550803,-4.1666639152726725,-8.56760989148423
2012-11-23,-2.3750050776762177,-6.774196143257349,0.5882513261578959,7.1588384087093,1.9999954541515041,-2.0833272409609083,-11.378859640299199
2012-11-24,-2.3750050776762177,-6.774196143257349,0.5882513261578959,7.1588384087093,1.9999954541515041,-2.0833272409609083,-11.378859640299199
2012-11-25,-2.3750050776762177,-6.774196143257349,0.5882513261578959,7.1588384087093,1.9999954541515041,-2.0833272409609083,-11.378859640299199
2012-11-26,12.249999925144838,7.096764462784977,15.588231238203075,4.697963684057549,17.000000889405143,12.50001061251973,-4.417684743280281
