Date,우리들제약,에이엔피,피에스엠씨,바른손,유성티엔에스,서희건설,조광페인트
2012-11-09,,,,,,,
2012-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-12,11.178861788617889,0.3906238944110241,2.3890784982935065,1.6229675104081576,3.148409520059503,1.8264808443744895,3.6764857630184444
2012-11-13,12.195121951219502,-4.687500539311696,4.095563139931735,-2.621722563280615,2.5487070584374383,-2.2831080062879816,2.0588235294117574
2012-11-14,22.560975609756095,9.37499417543366,6.484641638225241,2.247188368396813,11.993976194982125,1.369867584100759,17.352941176470594
2012-11-15,14.837398373983746,25.78125296621434,2.7303754266211344,-3.2459434212692706,13.04345956045736,-2.2831080062879705,25.4411714123272
2012-11-16,15.85365853658538,27.734372438269418,2.3890784982934843,-4.119850942362813,7.946004867216305,-2.2831080062879705,21.617652117084596
2012-11-17,15.85365853658538,27.734372438269418,2.3890784982934843,-4.119850942362813,7.946004867216305,-2.2831080062879705,21.617652117084596
2012-11-18,15.85365853658538,27.734372438269418,2.3890784982934843,-4.119850942362813,7.946004867216305,-2.2831080062879705,21.617652117084596
2012-11-19,20.12195121951219,34.765616344047224,1.7064846416382062,0.24968666310487553,13.643162022079425,3.196334526835476,18.970583177033085
2012-11-20,6.5040650406503975,25.390615265423833,0.6825938566552558,-3.3707825525952417,5.997000270400932,-0.45662716191349206,10.73529917590812
2012-11-21,-3.455284552845528,32.031249083170096,-5.460750853242358,-5.118597594782315,3.448244520324084,-5.0228362236695805,6.911759647621318
2012-11-22,5.691056910569103,27.343748543858393,-3.412969283276479,-2.996256758164406,6.146913712896573,-4.109588850662449,8.382357999437517
2012-11-23,-4.471544715447151,14.062494714745345,3.0716723549487845,-11.360797774215992,1.1993724621512047,-7.7625713918710755,-0.588235294117645
2012-11-24,-4.471544715447151,14.062494714745345,3.0716723549487845,-11.360797774215992,1.1993724621512047,-7.7625713918710755,-0.588235294117645
2012-11-25,-4.471544715447151,14.062494714745345,3.0716723549487845,-11.360797774215992,1.1993724621512047,-7.7625713918710755,-0.588235294117645
2012-11-26,9.756097560975618,30.859377399937028,2.7303754266211344,1.8726625739659886,16.34179875355897,5.936069695036972,14.264700824091904
2012-11-27,26.21951219512195,27.343748543858393,3.7542662116040626,17.103624627439885,14.242856368428235,7.762550539411439,20.882352941176485
2012-11-28,26.21951219512195,19.921866937290076,2.7303754266211344,15.48064871657877,7.946004867216305,1.8264808443744895,14.55883870419492
2012-11-29,18.90243902439024,9.374994175433638,4.095563139931735,16.6042429007772,2.098934269857522,0.9132473730071533,19.11764705882353
2012-11-30,14.837398373983746,11.328120550678467,9.215017064846398,16.853929563882055,1.4992318082354794,0.9132473730071533,15.882352941176482
2012-12-01,14.837398373983746,11.328120550678467,9.215017064846398,16.853929563882055,1.4992318082354794,0.9132473730071533,15.882352941176482
2012-12-02,14.837398373983746,11.328120550678467,9.215017064846398,16.853929563882055,1.4992318082354794,0.9132473730071533,15.882352941176482
2012-12-03,17.479674796747968,7.812498597789563,5.119453924914663,14.357054532380364,2.6986367314795867,0.4566063094538553,11.323524353503656
2012-12-04,0.0,3.906245847299905,6.1433447098976135,7.1161077005271745,-2.548739519530352,-4.109588850662449,0.44117141232717927
2012-12-05,-5.487804878048785,-1.1102230246251565e-14,7.508532423208214,22.09737469044326,-6.2968677317583825,-9.132418123512165,2.5000050582610456
2012-12-06,-19.512195121951226,-8.593753289801365,7.849829351535842,6.117352647654717,-16.042004329660553,-13.333333796721314,-7.794132821841981
2012-12-07,-31.09756097560976,-15.234380204357889,7.849829351535842,7.365794363632028,-23.688166081339034,-13.972614603728184,-15.294117647058824
2012-12-08,-31.09756097560976,-15.234380204357889,7.849829351535842,7.365794363632028,-23.688166081339034,-13.972614603728184,-15.294117647058824
2012-12-09,-31.09756097560976,-15.234380204357889,7.849829351535842,7.365794363632028,-23.688166081339034,-13.972614603728184,-15.294117647058824
2012-12-10,-41.260162601626014,-27.73437934145917,11.262798634812299,-8.739075210935422,-35.08246416051879,-21.461191626319465,-27.941176470588236
2012-12-11,-50.0,-27.578125641780925,9.897610921501698,-22.347069754001183,-38.83059643038344,-28.675795132090588,-38.750002529130526
2012-12-12,-56.91056910569105,-29.062504724370484,10.580204778156975,-33.95755419132204,-37.48126994937042,-27.30592754798983,-36.98529664677758
2012-12-13,-57.52032520325203,-31.09375449785957,11.262798634812277,-43.32085026024607,-36.581724372210566,-26.118713608982436,-38.08824035237869
2012-12-14,-55.6910569105691,-29.687498813514278,11.262798634812277,-44.06991444978717,-33.28336894856246,-23.744299632607436,-36.76470082409189
2012-12-15,-55.6910569105691,-29.687498813514278,11.262798634812277,-44.06991444978717,-33.28336894856246,-23.744299632607436,-36.76470082409189
2012-12-16,-55.6910569105691,-29.687498813514278,11.262798634812277,-44.06991444978717,-33.28336894856246,-23.744299632607436,-36.76470082409189
2012-12-17,-62.19512195121951,-35.31250084132627,9.556313993174047,-52.434455465838745,-37.03149310315388,-25.57077352616203,-38.89705629439888
2012-12-18,-64.43089430894308,-31.015624196425595,10.921501706484626,-52.05992547118144,-33.733137679505774,-25.11415331506841,-36.47059329355516
2012-12-19,-64.43089430894308,-31.015624196425595,10.921501706484626,-52.05992547118144,-33.733137679505774,-25.11415331506841,-36.47059329355516
2012-12-20,-69.7560975609756,-35.15625404483775,10.921501706484626,-59.176028971482175,-41.37932783464059,-29.58903555427782,-43.08823529411765
