Date,EG,동양물산,대유에이텍,대유신소재,아가방컴퍼니,보령메디앙스,세운메디칼
2012-08-10,59000.64453125,4781.6376953125,5144.89794921875,20432.80859375,13143.001953125,13802.9794921875,2930.83056640625
2012-08-13,60272.63671875,4852.12841796875,5158.1240234375,20084.17578125,13241.8212890625,13975.515625,3041.75048828125
2012-08-14,61055.39453125,4934.36767578125,5211.02783203125,20387.3359375,13390.05078125,13975.515625,3058.814453125
2012-08-16,63207.98828125,5134.09228515625,5224.25341796875,20387.3359375,13834.73828125,14406.859375,3058.814453125
2012-08-17,59979.09765625,4922.619140625,5131.67138671875,19629.439453125,13538.2802734375,14061.7841796875,3028.951171875
2012-08-20,59587.71875,4852.12841796875,5131.67138671875,19447.55078125,13637.099609375,14148.052734375,3110.0078125
2012-08-21,58022.1953125,4781.6376953125,5025.8642578125,19432.384765625,13044.1826171875,13716.7099609375,3122.806396484375
2012-08-22,58022.1953125,4993.11083984375,4972.9599609375,19159.546875,13044.1826171875,13587.306640625,3071.613037109375
2012-08-23,57239.43359375,4922.619140625,4959.734375,19508.173828125,13093.591796875,13716.7099609375,3127.072509765625
2012-08-24,59098.48828125,5051.8525390625,5105.22021484375,19326.283203125,13390.05078125,14191.1875,3084.41162109375
2012-08-27,58707.109375,4993.11083984375,5158.1240234375,17886.287109375,13390.05078125,14191.1875,3067.3466796875
2012-08-28,59685.5625,5075.34912109375,5316.83544921875,18113.66015625,13735.9189453125,14493.1279296875,3080.145263671875
2012-08-29,59196.33984375,5075.34912109375,5303.609375,18644.181640625,13785.3291015625,14493.1279296875,3225.193359375
