Date,안랩,케이씨피드,솔고바이오,써니전자,월비스
2012-11-09,52047.828125,2760.688232421875,36820.0,4960.83349609375,2860.25390625
2012-11-12,50862.99609375,2657.369140625,36260.0,4960.83349609375,2762.80078125
2012-11-13,48831.8515625,2512.72216796875,33460.0,4714.16259765625,2538.658203125
2012-11-14,42907.71484375,2388.7392578125,29680.0,4010.692626953125,2402.223388671875
2012-11-15,41892.1484375,2169.702392578125,29540.0,3777.724853515625,2334.00634765625
2012-11-16,38760.8125,2049.8525390625,27804.0,3211.29443359375,2187.826416015625
2012-11-19,39353.2265625,2066.38330078125,28700.0,3151.910888671875,2246.298095703125
2012-11-20,38930.08203125,1983.7276611328125,28140.0,2918.943603515625,2134.22705078125
2012-11-21,39437.859375,1901.0726318359375,27916.0,2777.3359375,2251.1708984375
2012-11-22,35417.9140625,1797.7535400390625,24668.0,2393.625,2290.15234375
2012-11-23,35079.38671875,1942.4002685546875,25032.0,2352.51318359375,2143.97216796875
2012-11-26,29832.291015625,1653.1065673828125,21280.0,2000.7781982421875,2465.568115234375
2012-11-27,31821.10546875,1739.894775390625,21504.0,1795.21875,2543.531005859375
2012-11-28,35925.6953125,1777.0899658203125,23940.0,1886.57861328125,2421.714111328125
2012-11-29,34317.7109375,1690.301513671875,22176.0,1726.698974609375,2212.189697265625
2012-11-30,38845.4453125,1710.9654541015625,23660.0,1795.21875,2338.87890625
2012-12-03,39945.640625,1752.2930908203125,22400.0,1553.115478515625,1988.0469970703125
2012-12-04,41130.4765625,1892.8070068359375,22680.0,1480.0277099609375,1861.3577880859375
2012-12-05,39776.38671875,1806.0189208984375,21252.0,1379.531982421875,1603.1065673828125
2012-12-06,37660.62109375,1772.9569091796875,19460.0,1311.01220703125,1607.979248046875
2012-12-07,38676.18359375,1739.894775390625,19432.0,1329.2841796875,1491.0352783203125
2012-12-10,34275.390625,1628.31005859375,18228.0,1132.8607177734375,1320.4920654296875
2012-12-11,33809.9296875,1620.044677734375,18480.0,1160.2686767578125,1203.548095703125
2012-12-12,32582.779296875,1586.9822998046875,18872.0,1068.908935546875,1203.548095703125
2012-12-13,32667.4140625,1661.3724365234375,19208.0,1041.5009765625,1198.6754150390625
2012-12-14,32921.30859375,1677.903564453125,19236.0,1014.0931396484375,1193.802734375
2012-12-17,30593.962890625,1611.77880859375,18144.0,893.4982299804688,1203.548095703125
2012-12-18,33598.3515625,1615.91162109375,18592.0,875.2262573242188,1310.746826171875
2012-12-20,35502.5390625,1690.301513671875,20832.0,1004.9571533203125,1505.6533203125
2012-12-21,34021.50390625,1727.4964599609375,20524.0,1155.70068359375,1354.6007080078125
2012-12-24,34317.7109375,1756.4259033203125,20888.0,1324.7161865234375,1252.2747802734375
2012-12-26,37533.671875,2016.7900390625,23996.0,1521.1396484375,1305.8740234375
2012-12-27,36295.35546875,1877.8460693359375,21700.0,1744.970947265625,1330.2374267578125
2012-12-28,38216.87109375,1907.3194580078125,22064.0,2005.3463134765625,1427.690673828125
2013-01-02,38003.37890625,1852.583984375,22260.0,2302.265380859375,1627.469970703125
2013-01-03,39156.29296875,1962.0546875,23380.0,2302.265380859375,1671.3238525390625
2013-01-04,38771.98828125,1941.002685546875,22736.0,2644.864501953125,1622.5972900390625
2013-01-07,37063.96484375,1936.792236328125,23324.0,2252.017578125,1573.87060546875
2013-01-08,36807.76171875,2033.6314697265625,24696.0,2585.48046875,1564.1253662109375
2013-01-09,36765.06640625,2016.789794921875,25172.0,2375.353271484375,1593.3612060546875
2013-01-10,36850.4609375,2164.15478515625,24864.0,2731.656005859375,1607.979248046875
2013-01-11,37747.17578125,2180.996337890625,24836.0,3138.20703125,1715.1778564453125
2013-01-14,38259.58203125,2159.944580078125,25872.0,3608.70947265625,1632.342529296875
2013-01-15,43639.8359375,2374.67578125,29680.0,4147.73193359375,1588.4886474609375
2013-01-16,50130.296875,2728.3505859375,34020.0,4147.73193359375,1617.7244873046875
2013-01-17,45860.24609375,2442.04248046875,29540.0,3928.46875,1603.1065673828125
2013-01-18,45945.65625,2387.306884765625,29820.0,4248.2275390625,1666.451171875
2013-01-21,45860.24609375,2383.0966796875,29260.0,4878.6103515625,1690.8145751953125
2013-01-22,44408.44140625,2307.308837890625,27300.0,4896.88232421875,1671.3238525390625
2013-01-23,45347.84765625,2395.72802734375,27888.0,4896.88232421875,1759.0318603515625
2013-01-24,45433.25390625,2488.35693359375,26600.0,4558.8505859375,1681.0692138671875
2013-01-25,44750.04296875,2644.142822265625,27020.0,4229.9560546875,1749.2864990234375
