,NE능률,덕성,삼부토건,신원종합개발,안랩
-5~-1,-4.090166043568729,15.231634278812523,-2.8817074961548297,-3.5185484652196264,-16.138558968734046
0,8.217362903954891,2.2053587479509136,-0.8039707350564662,1.3000143993779012,4.881094238226573
0~1,8.217362903954891,2.2053587479509136,-0.8039707350564662,1.3000143993779012,4.881094238226573
0~2,8.217362903954891,2.2053587479509136,-0.8039707350564662,1.3000143993779012,4.881094238226573
0~5,-16.846249723279687,-22.821019133065086,-5.14116755177769,42.07899882370127,5.041241468386263
