Date,써니전자,콤텍시스템,우성사료,솔고바이오메디칼,한국정보공학,미래산업,휴맥스,다믈멀티미디어,브리지텍,아남전자
2017-03-30,,,,,,,,,,
2017-03-31,0.6353240152477735,-2.066115702479343,-5.2790346907994,-0.884260168991946,-0.30674846625766694,-2.836939136290939,0.4207830223198039,-0.92592592592593,0.7843137254901933,28.504672897196272
2017-04-01,0.6353240152477735,-2.066115702479343,-5.2790346907994,-0.884260168991946,-0.30674846625766694,-2.836939136290939,0.4207830223198039,-0.92592592592593,0.7843137254901933,28.504672897196272
2017-04-02,0.6353240152477735,-2.066115702479343,-5.2790346907994,-0.884260168991946,-0.30674846625766694,-2.836939136290939,0.4207830223198039,-0.92592592592593,0.7843137254901933,28.504672897196272
2017-04-03,0.2541296060991183,0.33057851239670644,-9.502262443438914,0.2397327569267027,-3.3742331288343586,-1.422678676656286,0.0,-2.893518518518523,1.3071895424836555,28.504672897196272
2017-04-04,-22.49047013977129,-7.603305785123959,-28.054298642533936,-2.4955786991550544,-9.509202453987731,-20.995033251957228,-0.8415660446395856,-23.49537037037036,11.111111111111093,-10.046728971962615
2017-04-05,-2.1601016518424387,-2.066115702479332,-23.22775263951734,-2.0121831401061163,-5.368098159509193,-9.201111204646839,0.0,-9.259259259259245,21.568627450980383,-16.588785046728972
2017-04-06,1.6518424396442022,-2.066115702479332,-27.90346907993967,-1.367655728040873,-8.742331288343552,-13.443892583550788,-0.4207830223197817,-14.583333333333325,19.215686274509803,-10.046728971962626
2017-04-07,3.303684879288449,-2.3966942148760273,-25.791855203619917,-0.8842601689919349,-8.28220858895704,-13.443892583550788,-0.4207830223197817,-15.509259259259245,30.58823529411765,-11.214953271028039
2017-04-08,3.303684879288449,-2.3966942148760273,-25.791855203619917,-0.8842601689919349,-8.28220858895704,-13.443892583550788,-0.4207830223197817,-15.509259259259245,30.58823529411765,-11.214953271028039
2017-04-09,3.303684879288449,-2.3966942148760273,-25.791855203619917,-0.8842601689919349,-8.28220858895704,-13.443892583550788,-0.4207830223197817,-15.509259259259245,30.58823529411765,-11.214953271028039
2017-04-10,4.066073697585759,-6.446280991735531,-27.300150829562597,-2.7078011397131063,-9.815950920245387,-13.915312736762342,-0.8415660446395856,-17.708333333333314,34.640522875817005,-25.00000000000001
2017-04-11,1.6518424396442022,-5.950413223140494,-30.467571644042234,-4.503831794065627,-13.957055214723912,-17.459382102870592,-1.6831320892791712,-22.453703703703688,27.58169934640524,-19.859813084112155
2017-04-12,-7.24269377382466,-7.851239669421483,-33.333333333333336,-5.2033798388681385,-16.257668711656425,-19.816482868928354,-2.103915111598964,-28.356481481481456,25.620915032679736,-28.855140186915897
2017-04-13,-12.579415501905977,-4.297520661157028,-34.16289592760181,-4.747494596187862,-15.490797546012258,-22.88913208182506,-2.103915111598964,-32.06018518518516,19.738562091503265,-27.570093457943923
2017-04-14,-22.61753494282085,-8.677685950413228,-33.0316742081448,-6.193751228139122,-22.546012269938643,-23.587844094620745,-2.103915111598964,-36.57407407407406,17.64705882352939,-32.82710280373832
2017-04-15,-22.61753494282085,-8.677685950413228,-33.0316742081448,-6.193751228139122,-22.546012269938643,-23.587844094620745,-2.103915111598964,-36.57407407407406,17.64705882352939,-32.82710280373832
2017-04-16,-22.61753494282085,-8.677685950413228,-33.0316742081448,-6.193751228139122,-22.546012269938643,-23.587844094620745,-2.103915111598964,-36.57407407407406,17.64705882352939,-32.82710280373832
2017-04-17,-14.35832274459976,-7.272727272727275,-30.316742081447966,-5.392022008253083,-19.93865030674845,-21.46645340516876,-2.103915111598964,-34.374999999999986,18.562091503267975,-32.009345794392516
2017-04-18,-17.916137229987307,-7.851239669421495,-30.92006033182505,-5.631754765179798,-19.018404907975437,-23.11642394140919,-2.5338455909257096,-38.19444444444443,19.084967320261438,-11.68224299065419
2017-04-19,-18.551461245235078,-5.123966942148773,-30.618401206636527,-5.52564354490076,-18.404907975460105,-22.645003788197638,-0.4207830223197817,-38.888888888888886,16.470588235294127,-7.943925233644844
2017-04-20,-20.33036848792885,-6.942148760330591,-34.3137254901961,-5.8714875221065,-20.092024539877286,-24.29497432443807,2.220446049250313e-14,-41.203703703703695,17.647058823529417,-3.0373831775700855
2017-04-21,-28.46251588310039,-6.942148760330591,-38.159879336349945,-6.516014934171743,-20.85889570552145,-25.70923478407271,-0.4207830223197706,-44.27083333333333,16.33986928104576,-8.411214953271017
2017-04-22,-28.46251588310039,-6.942148760330591,-38.159879336349945,-6.516014934171743,-20.85889570552145,-25.70923478407271,-0.4207830223197706,-44.27083333333333,16.33986928104576,-8.411214953271017
2017-04-23,-28.46251588310039,-6.942148760330591,-38.159879336349945,-6.516014934171743,-20.85889570552145,-25.70923478407271,-0.4207830223197706,-44.27083333333333,16.33986928104576,-8.411214953271017
2017-04-24,-39.64421855146125,-12.727272727272732,-40.72398190045251,-8.90548241304775,-22.699386503067466,-29.017594073575193,2.220446049250313e-14,-49.30555555555555,8.36601307189544,-14.836448598130836
2017-04-25,-38.6277001270648,-11.074380165289256,-40.79939668174964,-8.44566712517194,-22.239263803680963,-27.839043690546315,0.4207830223198261,-48.4375,10.196078431372557,-14.4859813084112
