Date,두올산업,세우글로벌,토탈소프트뱅크,한국선재,동방선기,영화금속,보광산업,홈센타홀딩스,휴맥스홀딩스
2017-03-30,,,,,,,,,
2017-03-31,0.6525285481239873,3.0997304582210283,2.893890675241151,0.8810572687224738,-1.1954992967651235,0.0,-0.9793253536452662,1.2809187279152034,-1.9431988041853532
2017-04-01,0.6525285481239873,3.0997304582210283,2.893890675241151,0.8810572687224738,-1.1954992967651235,0.0,-0.9793253536452662,1.2809187279152034,-1.9431988041853532
2017-04-02,0.6525285481239873,3.0997304582210283,2.893890675241151,0.8810572687224738,-1.1954992967651235,0.0,-0.9793253536452662,1.2809187279152034,-1.9431988041853532
2017-04-03,-8.972267536704726,-6.738544474393526,4.1800643086816525,-0.2936857562408135,-1.7932489451476852,-0.2631578947368429,-1.9586507072905324,1.7226148409893893,-0.8968609865470767
2017-04-04,-20.717781402936374,-16.442048517520202,-1.1254019292604611,-3.524229074889862,-4.817158931082988,-1.3157894736842146,-6.420021762785632,-1.9434628975264934,-3.4379671150971625
2017-04-05,-23.001631321370297,-15.768194070080854,-0.3215434083601476,-4.698972099853149,-6.012658227848111,-1.3157894736842146,-6.964091403699668,-1.9434628975264934,-2.84005979073243
2017-04-06,-25.448613376835226,-14.959568733153628,-2.893890675241173,-6.167400881057262,-4.817158931082988,-1.8421052631579005,-10.010881392818272,-4.107773851590101,-3.2884902840059627
2017-04-07,-25.040783034257753,-14.555256064690003,-0.8038585209003246,-5.580029368575612,-5.41490857946555,-1.8421052631579005,-10.772578890097916,-4.946996466431097,-3.139013452914774
2017-04-08,-25.040783034257753,-14.555256064690003,-0.8038585209003246,-5.580029368575612,-5.41490857946555,-1.8421052631579005,-10.772578890097916,-4.946996466431097,-3.139013452914774
2017-04-09,-25.040783034257753,-14.555256064690003,-0.8038585209003246,-5.580029368575612,-5.41490857946555,-1.8421052631579005,-10.772578890097916,-4.946996466431097,-3.139013452914774
2017-04-10,-32.137030995106045,-17.520215633423163,-4.501607717041811,-9.838472834067534,-8.43881856540084,-6.3157894736842195,-9.575625680087041,-8.657243816254411,-0.4484304932735328
2017-04-11,-27.650897226753678,-14.69002695417787,-6.109324758842449,-7.635829662261373,-10.443037974683545,-4.999999999999993,-10.554951033732307,-7.199646643109537,-3.587443946188329
2017-04-12,-26.67210440456771,-11.590296495956853,-4.983922829581989,-8.22320117474301,-9.458509142053451,-5.789473684210522,-13.166485310119679,-8.127208480565361,-4.33482810164424
2017-04-13,-30.505709624796083,-16.711590296495938,-3.536977491961424,-7.929515418502186,-9.845288326300983,-5.789473684210522,-18.06311207834601,-11.528268551236742,-4.6337817638266054
2017-04-14,-35.39967373572595,-21.42857142857142,-6.430868167202575,-9.691629955947112,-13.888888888888895,-6.052631578947365,-20.239390642002164,-13.07420494699646,-5.231689088191327
2017-04-15,-35.39967373572595,-21.42857142857142,-6.430868167202575,-9.691629955947112,-13.888888888888895,-6.052631578947365,-20.239390642002164,-13.07420494699646,-5.231689088191327
2017-04-16,-35.39967373572595,-21.42857142857142,-6.430868167202575,-9.691629955947112,-13.888888888888895,-6.052631578947365,-20.239390642002164,-13.07420494699646,-5.231689088191327
2017-04-17,-33.768352365415986,-24.52830188679245,-3.6977491961414977,-7.929515418502186,-12.869198312236286,-4.736842105263161,-17.736670293797594,-10.512367491166064,-5.3811659192825045
2017-04-18,-34.42088091353996,-26.819407008086248,-2.411575562700985,-7.929515418502186,-12.869198312236286,-3.157894736842104,-17.301414581066364,-9.408127208480554,-5.979073243647237
2017-04-19,-34.82871125611746,-28.706199460916437,-1.6077170418006603,-7.782672540381763,-12.869198312236286,-3.9473684210526327,-16.104461371055468,-7.906360424028258,-5.979073243647237
2017-04-20,-35.23654159869495,-30.45822102425876,-0.8038585209003357,-6.31424375917764,-11.040787623066105,-1.5789473684210464,-16.32208922742109,-9.054770318021188,-7.025411061285503
2017-04-21,-30.750407830342574,-26.954177897574116,1.9292604501607524,-7.782672540381752,-11.251758087201125,-2.1052631578947323,-19.368879216539703,-10.512367491166064,-6.726457399103147
2017-04-22,-30.750407830342574,-26.954177897574116,1.9292604501607524,-7.782672540381752,-11.251758087201125,-2.1052631578947323,-19.368879216539703,-10.512367491166064,-6.726457399103147
2017-04-23,-30.750407830342574,-26.954177897574116,1.9292604501607524,-7.782672540381752,-11.251758087201125,-2.1052631578947323,-19.368879216539703,-10.512367491166064,-6.726457399103147
2017-04-24,-35.644371941272425,-36.388140161725055,-2.250803858520911,-9.838472834067513,-13.466947960618846,-5.263157894736836,-22.633297062023928,-12.279151943462875,-7.623318385650224
2017-04-25,-32.38172920065253,-34.23180592991913,-2.411575562700974,-9.544787077826689,-13.255977496483828,-4.73684210526315,-21.327529923830234,-11.793286219081256,-7.025411061285514
2017-04-26,-31.973898858075046,-33.288409703504044,-3.536977491961424,-8.516886930983802,-13.255977496483828,-3.68421052631579,-20.34820457018497,-10.86572438162542,-6.427503736920793
2017-04-27,-33.1973898858075,-30.592991913746626,-4.019292604501623,-8.516886930983802,-13.677918424753866,-4.210526315789476,-22.524483133841123,-11.660777385158983,-5.680119581464882
2017-04-28,-33.1973898858075,-29.784366576819387,-3.3762057877813723,-6.0205580029368155,-13.080168776371304,-4.736842105263161,-23.50380848748639,-12.632508833922241,-5.979073243647248
2017-04-29,-33.1973898858075,-29.784366576819387,-3.3762057877813723,-6.0205580029368155,-13.080168776371304,-4.736842105263161,-23.50380848748639,-12.632508833922241,-5.979073243647248
2017-04-30,-33.1973898858075,-29.784366576819387,-3.3762057877813723,-6.0205580029368155,-13.080168776371304,-4.736842105263161,-23.50380848748639,-12.632508833922241,-5.979073243647248
2017-05-01,-33.1973898858075,-29.784366576819387,-3.3762057877813723,-6.0205580029368155,-13.080168776371304,-4.736842105263161,-23.50380848748639,-12.632508833922241,-5.979073243647248
2017-05-02,-37.27569331158238,-41.2398921832884,-6.270096463022523,-6.461086637298042,-13.677918424753866,-4.210526315789465,-22.198041349292698,-12.367491166077727,-7.174887892376692
2017-05-03,-37.27569331158238,-41.2398921832884,-6.270096463022523,-6.461086637298042,-13.677918424753866,-4.210526315789465,-22.198041349292698,-12.367491166077727,-7.174887892376692
2017-05-04,-39.47797716150081,-45.28301886792452,-4.823151125401948,-6.607929515418453,-13.677918424753866,-3.157894736842093,-19.695321001088118,-8.127208480565361,-7.025411061285514
2017-05-05,-39.47797716150081,-45.28301886792452,-4.823151125401948,-6.607929515418453,-13.677918424753866,-3.157894736842093,-19.695321001088118,-8.127208480565361,-7.025411061285514
2017-05-06,-39.47797716150081,-45.28301886792452,-4.823151125401948,-6.607929515418453,-13.677918424753866,-3.157894736842093,-19.695321001088118,-8.127208480565361,-7.025411061285514
2017-05-07,-39.47797716150081,-45.28301886792452,-4.823151125401948,-6.607929515418453,-13.677918424753866,-3.157894736842093,-19.695321001088118,-8.127208480565361,-7.025411061285514
2017-05-08,-41.76182707993475,-47.84366576819406,-4.662379421221885,-5.433186490455166,-13.888888888888895,-3.421052631578936,-20.783460282916188,-8.568904593639559,-7.025411061285514
2017-05-09,-41.76182707993475,-47.84366576819406,-4.662379421221885,-5.433186490455166,-13.888888888888895,-3.421052631578936,-20.783460282916188,-8.568904593639559,-7.025411061285514
2017-05-10,-42.985318107667204,-49.73045822102424,-4.662379421221885,1.7621145374449698,-12.060478199718716,-3.157894736842104,-21.436343852013028,-8.303886925795034,-7.174887892376692
2017-05-11,-43.964110929853184,-50.94339622641508,-3.536977491961424,2.4963289280470313,-8.43881856540084,-1.8421052631579005,-21.327529923830213,-6.713780918727896,-7.32436472346788
2017-05-12,-43.3931484502447,-50.53908355795147,-3.6977491961414977,1.321585903083733,-9.458509142053451,-1.5789473684210575,-21.109902067464603,-7.641342756183722,-7.4738415545590575
2017-05-13,-43.3931484502447,-50.53908355795147,-3.6977491961414977,1.321585903083733,-9.458509142053451,-1.5789473684210575,-21.109902067464603,-7.641342756183722,-7.4738415545590575
2017-05-14,-43.3931484502447,-50.53908355795147,-3.6977491961414977,1.321585903083733,-9.458509142053451,-1.5789473684210575,-21.109902067464603,-7.641342756183722,-7.4738415545590575
2017-05-15,-42.577487765089714,-50.0,-3.8585209003215604,1.6152716593245797,-9.634317862165965,-2.3684210526315863,-21.436343852013028,-6.36042402826853,-7.922272047832591
2017-05-16,-42.577487765089714,-51.21293800539084,-5.787781350482335,3.230543318649093,-11.040787623066105,-4.210526315789487,-23.286180631120757,-6.890459363957568,-8.66965620328849
2017-05-17,-42.16965742251223,-49.86522911051213,-7.556270096463036,1.321585903083733,-10.864978902953581,-3.684210526315801,-23.612622415669172,-7.332155477031776,-9.118086696562033
2017-05-18,-42.74061990212073,-50.40431266846361,-11.093247588424438,-1.174743024963254,-12.482419127988752,-9.736842105263166,-26.224156692056553,-8.480565371024717,-9.715994020926754
2017-05-19,-41.92495921696574,-50.53908355795147,-9.807073954983913,0.4405286343612591,-11.040787623066095,-6.3157894736842195,-25.89771490750814,-7.994699646643088,-10.01494768310912
2017-05-20,-41.92495921696574,-50.53908355795147,-9.807073954983913,0.4405286343612591,-11.040787623066095,-6.3157894736842195,-25.89771490750814,-7.994699646643088,-10.01494768310912
2017-05-21,-41.92495921696574,-50.53908355795147,-9.807073954983913,0.4405286343612591,-11.040787623066095,-6.3157894736842195,-25.89771490750814,-7.994699646643088,-10.01494768310912
2017-05-22,-41.76182707993475,-49.0566037735849,-9.646302250803862,2.496328928047009,-11.673699015471161,-7.631578947368434,-24.700761697497263,-4.10777385159008,-9.865470852017932
2017-05-23,-40.94616639477977,-49.86522911051212,-9.807073954983924,3.81791483113072,-11.040787623066105,-7.631578947368434,-25.353645266594103,-5.035335689045917,-9.566517189835578
2017-05-24,-41.109298531810765,-47.843665768194064,-9.807073954983924,1.9089574155653821,-9.634317862165965,-6.315789473684208,-26.224156692056553,-6.272084805653688,-9.865470852017943
2017-05-25,-40.53833605220228,-47.843665768194064,-7.556270096463036,1.7621145374449698,-10.267229254571031,-6.315789473684208,-25.571273122959713,-5.521201413427546,-10.164424514200299
2017-05-26,-40.94616639477977,-47.843665768194064,-7.073954983922837,1.6152716593245575,-9.458509142053451,-6.578947368421051,-26.441784548422177,-4.681978798586561,-8.968609865470857
2017-05-27,-40.94616639477977,-47.843665768194064,-7.073954983922837,1.6152716593245575,-9.458509142053451,-6.578947368421051,-26.441784548422177,-4.681978798586561,-8.968609865470857
2017-05-28,-40.94616639477977,-47.843665768194064,-7.073954983922837,1.6152716593245575,-9.458509142053451,-6.578947368421051,-26.441784548422177,-4.681978798586561,-8.968609865470857
2017-05-29,-41.76182707993475,-47.70889487870619,-9.967845659163999,5.433186490455255,-9.634317862165965,-5.789473684210522,-28.073993471164282,-6.625441696113066,-9.4170403587444
2017-05-30,-39.31484502446981,-46.76549865229111,-10.61093247588425,3.377386196769483,-9.845288326300983,-1.0526315789473606,-27.529923830250237,-5.8745583038869125,-9.715994020926754
2017-05-31,-38.662316476345836,-44.878706199460915,-10.61093247588425,2.349486049926619,-10.443037974683545,-3.6842105263157787,-27.312295973884616,-6.183745583038847,-9.715994020926754
