Date,세우글로벌,태경산업
2007-10-29,,
2007-10-30,-1.6042757251243822,-2.340416879385099
2007-10-31,-1.6042757251243822,-1.276609461552225
2007-11-01,-1.0695171500829104,-0.21274867509727402
2007-11-02,-2.139034300165832,0.31914436009474745
2007-11-03,-2.139034300165832,0.31914436009474745
2007-11-04,-2.139034300165832,0.31914436009474745
2007-11-05,-4.812833832975272,7.446780009523102
2007-11-06,-1.0695171500829215,8.085100750885843
2007-11-07,-4.278068600331686,1.2765987878277985
2007-11-08,-5.347592408016732,-1.276609461552236
2007-11-09,-5.347592408016732,-0.8510480690111843
2007-11-10,-5.347592408016732,-0.8510480690111843
2007-11-11,-5.347592408016732,-0.8510480690111843
2007-11-12,-9.090909090909083,-1.914876834292889
2007-11-13,-6.951868133141126,-4.46809575739735
2007-11-14,-6.4171095580996536,-5.106384477586845
2007-11-15,-8.021385283224047,-4.255325734851246
2007-11-16,-6.4171095580996536,2.7659569244772975
