Date,세우글로벌,태경산업
2007-11-09,,
2007-11-10,0.0,0.0
2007-11-11,0.0,0.0
2007-11-12,-3.9548034520459407,-1.0729817027930078
2007-11-13,-1.6949127507035255,-3.6480731974402603
2007-11-14,-1.1299418338023393,-4.291872984458722
2007-11-15,-2.824854584505865,-3.43349838756698
2007-11-16,-1.1299418338023504,3.6480624320975874
2007-11-17,-1.1299418338023504,3.6480624320975874
2007-11-18,-1.1299418338023504,3.6480624320975874
2007-11-19,-5.084745285848291,2.1459203442153685
2007-11-20,-4.519774368947127,2.8969752401424964
2007-11-21,-9.039548737894243,1.0729386414223718
2007-11-22,-9.604519654795418,-1.8240365987201246
2007-11-23,-16.384177691347222,-4.291872984458712
2007-11-24,-16.384177691347222,-4.291872984458712
2007-11-25,-16.384177691347222,-4.291872984458712
2007-11-26,-15.254235857544874,0.0
2007-11-27,-18.64406839268965,0.10727663959397837
2007-11-28,-18.64406839268965,-3.004294941107122
2007-11-29,-16.949148608248386,-3.1116361727570596
2007-11-30,-13.55932310684137,0.4291819157745458
2007-12-01,-13.55932310684137,0.4291819157745458
2007-12-02,-13.55932310684137,0.4291819157745458
2007-12-03,-15.254235857544884,-0.6437890216758002
2007-12-04,-10.734461488597757,-2.3605489808019464
2007-12-05,-11.299432405498933,-0.7510871919551021
2007-12-06,-10.734461488597768,-2.78970936589118
2007-12-07,-12.429374239301282,-5.901302477277593
2007-12-08,-12.429374239301282,-5.901302477277593
2007-12-09,-12.429374239301282,-5.901302477277593
2007-12-10,-15.254235857544884,8.154477930401626
2007-12-11,-14.68926494064371,-1.287556512666288
2007-12-12,-15.254235857544874,-5.901302477277593
2007-12-13,-16.38417769134721,-5.686716902061651
2007-12-14,-15.819206774446048,-6.652378903890044
2007-12-15,-15.819206774446048,-6.652378903890044
2007-12-16,-15.819206774446048,-6.652378903890044
2007-12-17,-15.254235857544874,-12.553659850482312
2007-12-18,-16.384177691347222,-14.055818086378535
2007-12-19,-16.384177691347222,-14.055818086378535
2007-12-20,-16.384177691347222,-14.592292789761052
2007-12-21,-15.819206774446048,-13.626609257247345
2007-12-22,-15.819206774446048,-13.626609257247345
2007-12-23,-15.819206774446048,-13.626609257247345
2007-12-24,-12.429374239301282,-12.017174381757133
2007-12-25,-12.429374239301282,-12.017174381757133
2007-12-26,-11.864403322400108,-12.33906889259504
2007-12-27,-9.604519654795418,-13.341548366316191
2007-12-28,-6.7796580365518055,-15.346496548415834
2007-12-29,-6.7796580365518055,-15.346496548415834
2007-12-30,-6.7796580365518055,-15.346496548415834
2007-12-31,-6.7796580365518055,-15.346496548415834
2008-01-01,-6.7796580365518055,-15.346496548415834
2008-01-02,-4.519774368947127,-17.574228114166036
2008-01-03,-8.47457782099308,-15.90342540284988
2008-01-04,-2.259883667604712,-13.118781130679624
2008-01-05,-2.259883667604712,-13.118781130679624
2008-01-06,-2.259883667604712,-13.118781130679624
2008-01-07,-2.259883667604712,-12.896003129700407
2008-01-08,-1.1299418338023726,-10.334109945152726
2008-01-09,-2.259883667604712,-10.668276946621546
2008-01-10,-2.824854584505887,-12.004901891126208
2008-01-11,-6.214687119650653,-14.23265498756171
2008-01-12,-6.214687119650653,-14.23265498756171
2008-01-13,-6.214687119650653,-14.23265498756171
2008-01-14,-6.779658036551828,-15.792052550374269
2008-01-15,0.564970916901153,-17.128693642892912
2008-01-16,2.8248616182435793,-17.128693642892912
2008-01-17,-0.5649709169011863,-15.569269166723721
2008-01-18,1.6949197844412511,-14.789573076653106
2008-01-19,1.6949197844412511,-14.789573076653106
2008-01-20,1.6949197844412511,-14.789573076653106
2008-01-21,-1.6949127507035366,-16.683132258263143
2008-01-22,-7.344628953452991,-19.801948914573554
2008-01-23,-5.084745285848302,-25.371253606928047
2008-01-24,-6.214687119650653,-22.25244771596031
2008-01-25,-4.519774368947127,-23.700472426297235
