Date,세우글로벌,태경산업
2007-10-29,916.7738647460938,2287.304931640625
2007-10-30,902.0662841796875,2233.7724609375
2007-10-31,902.0662841796875,2258.10498046875
2007-11-01,906.9688110351562,2282.438720703125
2007-11-02,897.1637573242188,2294.604736328125
2007-11-05,872.6510620117188,2457.635498046875
2007-11-06,906.9688110351562,2472.23583984375
2007-11-07,877.5536499023438,2316.504638671875
2007-11-08,867.74853515625,2258.10498046875
2007-11-09,867.74853515625,2267.8388671875
2007-11-12,833.4307861328125,2243.505859375
2007-11-13,853.0409545898438,2185.10595703125
2007-11-14,857.9434814453125,2170.50634765625
2007-11-15,843.2359008789062,2189.97265625
2007-11-16,857.9434814453125,2350.57080078125
