Date,세우글로벌,태경산업
2007-11-09,867.74853515625,2267.8388671875
2007-11-12,833.4307861328125,2243.50537109375
2007-11-13,853.0409545898438,2185.1064453125
2007-11-14,857.9434814453125,2170.506103515625
2007-11-15,843.2359008789062,2189.97265625
2007-11-16,857.9434814453125,2350.571044921875
2007-11-19,823.625732421875,2316.5048828125
2007-11-20,828.5282592773438,2333.53759765625
2007-11-21,789.3079833984375,2292.17138671875
2007-11-22,784.4054565429688,2226.47265625
2007-11-23,725.5750732421875,2170.506103515625
2007-11-26,735.380126953125,2267.8388671875
2007-11-27,705.9649047851562,2270.271728515625
2007-11-28,705.9649047851562,2199.706298828125
2007-11-29,720.6725463867188,2197.27197265625
2007-11-30,750.0877075195312,2277.572021484375
2007-12-03,735.380126953125,2253.23876953125
2007-12-04,774.6004028320312,2214.305419921875
2007-12-05,769.6978759765625,2250.805419921875
2007-12-06,774.6004028320312,2204.57275390625
2007-12-07,759.892822265625,2134.0068359375
2007-12-10,735.380126953125,2452.769287109375
2007-12-11,740.2826538085938,2238.63916015625
2007-12-12,735.380126953125,2134.0068359375
2007-12-13,725.5750732421875,2138.873291015625
2007-12-14,730.4776000976562,2116.9736328125
2007-12-17,735.380126953125,1983.14208984375
2007-12-18,725.5750732421875,1949.0755615234375
2007-12-20,725.5750732421875,1936.9091796875
2007-12-21,730.4776000976562,1958.809326171875
2007-12-24,759.892822265625,1995.3087158203125
2007-12-26,764.7953491210938,1988.0086669921875
2007-12-27,784.4054565429688,1965.2740478515625
2007-12-28,808.9181518554688,1919.8050537109375
2008-01-02,828.5282592773438,1869.28369140625
2008-01-03,794.2105102539062,1907.1748046875
2008-01-04,848.138427734375,1970.3260498046875
2008-01-07,848.138427734375,1975.3782958984375
2008-01-08,857.9434814453125,2033.4779052734375
2008-01-09,848.138427734375,2025.8995361328125
2008-01-10,843.2359008789062,1995.5870361328125
2008-01-11,813.8206787109375,1945.065185546875
2008-01-14,808.9181518554688,1909.7005615234375
2008-01-15,872.6510620117188,1879.3876953125
2008-01-16,892.26123046875,1879.3876953125
2008-01-17,862.8460083007812,1914.7529296875
2008-01-18,882.4561767578125,1932.4351806640625
2008-01-21,853.0409545898438,1889.4923095703125
2008-01-22,804.015625,1818.7625732421875
2008-01-23,823.625732421875,1692.459716796875
2008-01-24,813.8206787109375,1763.189208984375
2008-01-25,828.5282592773438,1730.350341796875
