Date,현대엘리베이터,한창,현대상선,에머슨퍼시픽,신원
2007-11-09,,,,,
2007-11-10,0.0,0.0,0.0,0.0,0.0
2007-11-11,0.0,0.0,0.0,0.0,0.0
2007-11-12,-5.439319142791832,-2.890177465135424,-3.516480229064012,0.4115226337448652,-2.208841176255072
2007-11-13,-7.9498118742594714,0.0,-4.175821197617391,-3.2921810699588328,-3.614464961373476
2007-11-14,-2.928870219567792,1.156075768793463,-2.087903193977625,-5.7613168724279795,-2.008043477841681
2007-11-15,-2.092045150177735,3.468203392683944,-2.30769338993686,-2.8806584362139898,-3.8152626597868777
2007-11-16,-4.602511596699211,1.7341016963419609,-2.30769338993686,-4.526748971193406,-4.216878004725977
2007-11-17,-4.602511596699211,1.7341016963419609,-2.30769338993686,-4.526748971193406,-4.216878004725977
2007-11-18,-4.602511596699211,1.7341016963419609,-2.30769338993686,-4.526748971193406,-4.216878004725977
2007-11-19,-7.112978043220696,1.156075768793463,-7.692301426681403,-6.584362139917688,-10.441766240439787
2007-11-20,-7.949811874259483,1.156075768793463,-5.934061312149408,-4.938271604938271,-10.843381585378886
2007-11-21,-12.133902174614942,-0.578041870012802,-11.648347238001723,-5.76131687242799,-4.417675703139368
2007-11-22,-7.112978043220696,-2.312143566354763,-12.307710421048334,-6.172839506172845,-11.646598976515554
2007-11-23,-10.460260797483523,-4.046253233928876,-17.032962679577345,-6.172839506172845,-14.056224552442487
2007-11-24,-10.460260797483523,-4.046253233928876,-17.032962679577345,-6.172839506172845,-14.056224552442487
2007-11-25,-10.460260797483523,-4.046253233928876,-17.032962679577345,-6.172839506172845,-14.056224552442487
2007-11-26,-8.786610658703387,-1.734109667574102,-14.725269289640497,-2.4691358024691468,-15.662652685345059
2007-11-27,-2.928870219567803,-2.312143566354763,-13.296707064216262,-7.818930041152273,-14.056224552442487
2007-11-28,-1.6736413771314185,-5.202321031490187,-13.076924273088109,-7.818930041152273,-16.064268030284158
2007-11-29,6.276152973830618,-1.734109667574102,-11.538459544853186,-6.172839506172856,-17.67068951381596
2007-11-30,9.205005670100963,1.156075768793463,-8.681312879511482,-5.3497942386831365,-17.67068951381596
2007-12-01,9.205005670100963,1.156075768793463,-8.681312879511482,-5.3497942386831365,-17.67068951381596
2007-12-02,9.205005670100963,1.156075768793463,-8.681312879511482,-5.3497942386831365,-17.67068951381596
2007-12-03,5.0209153697455156,2.312135595122644,-9.45054894604449,-3.70370370370372,-17.67068951381596
2007-12-04,5.857749200784301,0.0,-9.010983363788194,-7.407407407407418,-14.658644245165764
2007-12-05,0.4184037730463164,2.312135595122622,-7.032967862959117,-5.349794238683147,-12.449803068910681
2007-12-06,8.786619420352082,2.890169493903283,-3.296704842766962,-4.115226337448585,-11.646598976515554
2007-12-07,8.786619420352082,3.468203392683944,-3.296704842766962,-6.172839506172867,-11.646598976515554
2007-12-08,8.786619420352082,3.468203392683944,-3.296704842766962,-6.172839506172867,-11.646598976515554
2007-12-09,8.786619420352082,3.468203392683944,-3.296704842766962,-6.172839506172867,-11.646598976515554
2007-12-10,6.694556746876912,6.358372886587227,-7.25275065408727,-7.818930041152294,-9.036155754062925
2007-12-11,5.857749200784301,5.780346959038707,-7.032967862959117,-4.938271604938304,-9.839359846458063
2007-12-12,4.184099062004165,4.624271190245244,-4.615386779873731,-4.5267489711934505,-5.421684143318684
2007-12-13,-2.928870219567803,5.202305089025905,-8.79120057266004,-3.7037037037037424,-5.421684143318684
2007-12-14,0.41840377304629417,4.046229320232442,-6.59340968553389,-7.818930041152294,-0.6024063939817359
2007-12-15,0.41840377304629417,4.046229320232442,-6.59340968553389,-7.818930041152294,-0.6024063939817359
2007-12-16,0.41840377304629417,4.046229320232442,-6.59340968553389,-7.818930041152294,-0.6024063939817359
2007-12-17,-2.092045150177735,6.358372886587205,-10.329672705726056,-7.40740740740743,-7.630538618315286
2007-12-18,2.092062673475148,7.514448655380668,-8.791200572660063,-9.053497942386857,-5.622488491102839
2007-12-19,2.092062673475148,7.514448655380668,-8.791200572660063,-9.053497942386857,-5.622488491102839
2007-12-20,-1.1102230246251565e-14,8.092482554161329,-12.747246383980382,-10.699588477366284,-8.63454705849458
2007-12-21,3.7657040506065886,6.358372886587205,-12.52746359285224,-10.28806584362142,-12.449803068910681
2007-12-22,3.7657040506065886,6.358372886587205,-12.52746359285224,-10.28806584362142,-12.449803068910681
2007-12-23,3.7657040506065886,6.358372886587205,-12.52746359285224,-10.28806584362142,-12.449803068910681
2007-12-24,7.1129517582745105,5.780346959038685,-5.604398232703844,-12.757201646090554,-8.232925064184716
2007-12-25,7.1129517582745105,5.780346959038685,-5.604398232703844,-12.757201646090554,-8.232925064184716
2007-12-26,8.786619420352082,4.624271190245222,-3.5164802290640895,-9.46502057613171,-1.807239130057492
2007-12-27,9.03919146804666,9.248550351722606,-4.183425959131193,-11.111111111111127,2.721587454818364
2007-12-28,13.67020470803688,8.092482554161307,-4.40573379765582,-11.934156378600846,4.7801196048917305
2007-12-29,13.67020470803688,8.092482554161307,-4.40573379765582,-11.934156378600846,4.7801196048917305
2007-12-30,13.67020470803688,8.092482554161307,-4.40573379765582,-11.934156378600846,4.7801196048917305
2007-12-31,13.67020470803688,8.092482554161307,-4.40573379765582,-11.934156378600846,4.7801196048917305
2008-01-01,13.67020470803688,8.092482554161307,-4.40573379765582,-11.934156378600846,4.7801196048917305
2008-01-02,11.144212619980909,10.40462612051607,-8.851979426121225,-12.757201646090554,-1.1896721707276403
